lon,lat,alt,cum_dist_m,zone
-121.75666755576815,36.58644064453679,0.0,0.0,s21
-121.75667987189162,36.586425613581675,0.0,1.999246556390766,s21
-121.75669211935794,36.58641054915314,0.0,3.998217841946537,s21
-121.75670430082096,36.58639544651028,0.0,5.997510118236119,s21
-121.75671641125905,36.586380310699525,0.0,7.996435567263093,s21
-121.75672845461675,36.58636513571116,0.0,9.995773108394149,s21
-121.75674042497953,36.586349928093846,0.0,11.994652928254732,s21
-121.75675232741048,36.5863346805519,0.0,13.994029366140822,s21
-121.75676415514472,36.58631940094605,0.0,15.99287004465453,s21
-121.75677591404654,36.58630408087134,0.0,17.99227279152196,s21
-121.75678759668843,36.58628872910224,0.0,19.99108893831821,s21
-121.75679920924419,36.58627333653541,0.0,21.990498004241186,s21
-121.75681074395445,36.586257912250794,0.0,23.98930827836407,s21
-121.7568222067159,36.58624244700538,0.0,25.988701216274883,s21
-121.75683358981723,36.586226949478124,0.0,27.987527362417282,s21
-121.7568448982399,36.586211410932435,0.0,29.986880181015433,s21
-121.75685612471631,36.58619583887309,0.0,31.9857453538526,s21
-121.75686727268136,36.5861802257539,0.0,33.98503567001747,s21
-121.75687833565857,36.586164577156616,0.0,35.9839609330935,s21
-121.75688931529388,36.58614888747342,0.0,37.9831721103374,s21
-121.75690020762273,36.58613316043056,0.0,39.98217335678293,s21
-121.75691101453698,36.58611739388338,0.0,41.98129398308094,s21
-121.75692173952858,36.58610159133279,0.0,43.98038200945157,s21
-121.75693238787963,36.58608575584722,0.0,45.9793982389623,s21
-121.75694296700648,36.586069888460294,0.0,47.978586061894596,s21
-121.75695348056654,36.586053995753076,0.0,49.977480549780864,s21
-121.75696393774052,36.58603807468059,0.0,51.97678592390036,s21
-121.75697433872628,36.58602213516986,0.0,53.975553102285566,s21
-121.75698469422308,36.58600616965668,0.0,55.97498422216368,s21
-121.75699500082958,36.58599019150592,0.0,57.97363526881337,s21
-121.75700527049322,36.585974188769306,0.0,59.973185454769244,s21
-121.75701549643915,36.585958177828765,0.0,61.971749796343104,s21
-121.75702569139027,36.58594214309718,0.0,63.97139453350875,s21
-121.7570358459123,36.58592610306967,0.0,65.96991454583616,s21
-121.75704597290242,36.58591003979811,0.0,67.96961442424183,s21
-121.75705606133629,36.58589397262832,0.0,69.96813887737244,s21
-121.75706612351884,36.58587788282726,0.0,71.9678452509625,s21
-121.75707614801787,36.58586178909737,0.0,73.9664249438946,s21
-121.7570861457002,36.58584567364367,0.0,75.96608425092397,s21
-121.75709610592367,36.585829552930136,0.0,77.96476837235357,s21
-121.75710603726321,36.585813411838245,0.0,79.96432658367513,s21
-121.75711593101207,36.58579726303544,0.0,81.96315897382696,s21
-121.75712579267676,36.585781095697136,0.0,83.96256667709704,s21
-121.75713561647031,36.58576491731099,0.0,85.96158176346376,s21
-121.75714540422634,36.585748722692706,0.0,87.96079968649813,s21
-121.75715515382291,36.58573251310031,0.0,89.9600187696913,s21
-121.75716486308444,36.58571628991708,0.0,91.95902334797708,s21
-121.75717453397425,36.58570004761358,0.0,93.95845024317967,s21
-121.75718416032198,36.58568379448941,0.0,95.9572384398208,s21
-121.75719374820524,36.58566751830427,0.0,97.95685669143757,s21
-121.75720328793838,36.58565123387847,0.0,99.95545657186267,s21
-121.75721278920595,36.58563492324315,0.0,101.95522056154196,s21
-121.75722223983608,36.585618606417285,0.0,103.95368438277926,s21
-121.75723165217498,36.58560226149582,0.0,105.95352774338949,s21
-121.75724101289768,36.58558591181487,0.0,107.95190944130367,s21
-121.75725033602306,36.58556953351835,0.0,109.95176855149201,s21
-121.75725960840613,36.585553151345515,0.0,111.95012875611089,s21
-121.7572688447373,36.58553674157811,0.0,113.94993940099593,s21
-121.75727803342258,36.585520328343506,0.0,115.9483421328722,s21
-121.75728718887525,36.58550389016462,0.0,117.9480477028678,s21
-121.75729630224897,36.58548744863925,0.0,119.94655236328227,s21
-121.75730538681067,36.585470986346415,0.0,121.94611147458475,s21
-121.75731443733439,36.58545452075213,0.0,123.94476898229841,s21
-121.75732346520644,36.58543803994861,0.0,125.94414962850716,s21
-121.75733246942904,36.58542155606079,0.0,127.94298925791139,s21
-121.75734145909686,36.58540506354925,0.0,129.94218022980823,s21
-121.7573504376292,36.58538856875086,0.0,131.94120281431154,s21
-121.75735941186124,36.58537207248742,0.0,133.94021968177847,s21
-121.75736838937686,36.58535557567443,0.0,135.93941053401562,s21
-121.75737737447932,36.58533908473163,0.0,137.93827800516814,s21
-121.75738637585526,36.58532259495319,0.0,139.93761358995454,s21
-121.75739539133139,36.58530611611115,0.0,141.9363475915026,s21
-121.75740442197586,36.58528963546147,0.0,143.93581347902273,s21
-121.7574134536055,36.58527316356299,0.0,145.93442686616834,s21
-121.75742248600444,36.585256682345026,0.0,147.93401403160584,s21
-121.75743150135466,36.58524020560874,0.0,149.93252995338673,s21
-121.75744050176783,36.58522371200871,0.0,151.93221936000938,s22
-121.75744946868508,36.58520721873256,0.0,153.93067034922146,s22
-121.75745840637585,36.585190702245114,0.0,155.93043304376846,s22
-121.75746729611815,36.5851741820734,0.0,157.92885839378118,s22
-121.75747614359047,36.585157633670185,0.0,159.92865731743962,s22
-121.75748493061728,36.585141077590734,0.0,161.92710378383538,s22
-121.75749366341556,36.58512448972757,0.0,163.92689171395688,s22
-121.75750232520998,36.585107890045705,0.0,165.92541374910758,s22
-121.75751092176728,36.58509125663378,0.0,167.92513301446922,s22
-121.75751943869771,36.58507460692364,0.0,169.92379345222392,s22
-121.75752788024054,36.5850579232952,0.0,171.9233752327913,s22
-121.75753623546665,36.58504121838711,0.0,173.92224116450302,s22
-121.75754450590787,36.58502448117748,0.0,175.92161056823466,s22
-121.75755268504318,36.585007717125485,0.0,177.92074108851892,s22
-121.75756077059087,36.58499092394949,0.0,179.9198326276236,s22
-121.75756876104352,36.584974097886324,0.0,181.91926720966427,s22
-121.75757664961755,36.5849572468932,0.0,183.9180471102198,s22
-121.75758443989076,36.58494035691671,0.0,185.91779082054808,s22
-121.75759212055756,36.584923446375505,0.0,187.9162786806505,s22
-121.7575996995479,36.58490649150091,0.0,189.91628264462747,s22
-121.75760716170463,36.58488951990058,0.0,191.91451420353147,s22
-121.75761451818693,36.58487249952608,0.0,193.91471520820144,s22
-121.75762175083521,36.58485546536006,0.0,195.91274384745165,s22
-121.75762887270376,36.5848383790641,0.0,197.9130653586736,s22
-121.75763586358822,36.58482128066187,0.0,199.91095862006907,s22
-121.7576427369607,36.58480412795894,0.0,201.91131660121354,s22
-121.75764947155535,36.58478696330754,0.0,203.90915457898024,s22
-121.75765607970898,36.58476974343099,0.0,205.9094616597658,s22
-121.75766254001836,36.584752510019186,0.0,207.9073347409076,s22
-121.75766886213628,36.584735221731094,0.0,209.9075042608112,s22
-121.75767502550426,36.584717915947344,0.0,211.90556754357578,s22
-121.75768103509549,36.58470055790534,0.0,213.90546046386535,s22
-121.75768687226548,36.58468317622294,0.0,215.90379113277075,s22
-121.75769253686656,36.5846657459114,0.0,217.903359931205,s22
-121.75769801555725,36.58464828577056,0.0,219.9019843700048,s22
-121.75770330858117,36.584630782781595,0.0,221.90121674674495,s22
-121.75770841867056,36.5846132473284,0.0,223.9001403685418,s22
-121.75771335414015,36.58459567960379,0.0,225.8990392057186,s22
-121.75771812429126,36.58457807924451,0.0,227.898258801911,s22
-121.75772273506871,36.584560457013815,0.0,229.8968561673788,s22
-121.7577271963804,36.58454280146981,0.0,231.89635696014312,s22
-121.75773150934413,36.58452513234397,0.0,233.894727931047,s22
-121.75773568348659,36.58450742905406,0.0,235.89446084896596,s22
-121.75773971638577,36.58448971819922,0.0,237.89269676266798,s22
-121.75774361680624,36.584471972832446,0.0,239.89259621655603,s22
-121.75774738006439,36.58445422383964,0.0,241.89078635249314,s22
-121.75775101377495,36.58443644081341,0.0,243.89078146157846,s22
-121.75775451205537,36.58441865630229,0.0,245.88900440119104,s22
-121.75775788113815,36.5844008392149,0.0,247.88902204942963,s22
-121.75776111486358,36.58438302126893,0.0,249.88734367087588,s22
-121.75776421798591,36.58436517325012,0.0,251.88731089520155,s22
-121.7577671848102,36.58434732373656,0.0,253.88578527636497,s22
-121.75777001861135,36.58432944771061,0.0,255.88563117127345,s22
-121.75777271471122,36.584311568505704,0.0,257.88430186479695,s22
-121.75777527499133,36.584293667339246,0.0,259.8839626199337,s22
-121.75777769615121,36.58427576051031,0.0,261.88285969581466,s22
-121.7577799788914,36.58425783706635,0.0,263.88228601578135,s22
-121.75778212146118,36.58423990499517,0.0,265.8814225238726,s22
-121.75778412372986,36.5842219621196,0.0,267.88058793445293,s22
-121.7577859855165,36.58420400759347,0.0,269.8799540476123,s22
-121.75778770634645,36.584186048061845,0.0,271.8788622442274,s22
-121.7577892875169,36.584168074300585,0.0,273.8784214494731,s22
-121.75779072880583,36.58415010076588,0.0,275.87710865186165,s22
-121.75779203286022,36.58413211136686,0.0,277.8767982923351,s22
-121.75779320035646,36.5841141263117,0.0,279.8753305358718,s22
-121.75779423520298,36.58409612510832,0.0,281.8750673465462,s22
-121.7577951396149,36.584078130799895,0.0,283.8735330415834,s22
-121.75779591874982,36.584060121552525,0.0,285.87323282297734,s22
-121.75779657667889,36.58404212006694,0.0,287.87172280273296,s22
-121.75779711971285,36.58402410610694,0.0,289.8713201380833,s22
-121.75779755368602,36.584006099359804,0.0,291.86990380161643,s22
-121.75779788565339,36.58398808336423,0.0,293.86935708525806,s22
-121.75779812203135,36.58397007299179,0.0,295.86807758564436,s22
-121.7577982689386,36.58395205687535,0.0,297.8673667679646,s22
-121.75779833006382,36.58393404414527,0.0,299.866244415899,s1
-121.75779830879608,36.583916029184714,0.0,301.8653629963457,s1
-121.75779820832334,36.58389801508546,0.0,303.8644053063242,s1
-121.75779803199897,36.583880002160186,0.0,305.86335939859725,s1
-121.75779778355285,36.58386198752876,0.0,307.86256417668466,s1
-121.75779746704453,36.5838439771829,0.0,309.8613704483434,s1
-121.75779708659154,36.583825962686035,0.0,311.8607265743516,s1
-121.75779664683907,36.58380795514651,0.0,313.8594082044647,s1
-121.75779615204644,36.58378994124989,0.0,315.85889816081846,s1
-121.75779560729467,36.58377193645977,0.0,317.85748188008387,s1
-121.75779501678048,36.58375392342184,0.0,319.8570846279516,s1
-121.75779438584635,36.583735921083544,0.0,321.85559937937825,s1
-121.75779371845765,36.583717908992455,0.0,323.85529074553625,s1
-121.75779302002732,36.58369990861198,0.0,325.85376811969405,s1
-121.75779229415753,36.583681897451314,0.0,327.85351944729996,s1
-121.75779154612266,36.583663898369764,0.0,329.85199652419277,s1
-121.75779077906674,36.5836458881078,0.0,331.85177129921425,s1
-121.75778999789877,36.58362788952118,0.0,333.85029500506323,s1
-121.75778920524762,36.583609880211874,0.0,335.8500440621213,s1
-121.75778840541109,36.58359188118194,0.0,337.8486760606793,s1
-121.75778760046838,36.58357387308377,0.0,339.84833011730274,s1
-121.75778679386124,36.58355587262818,0.0,341.84714199874213,s1
